City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Prieska,ZA,2022-10-03 02:15:54,-29.6641,22.7474,64.4,18,0,3.67
98,Nyrob,RU,2022-10-03 02:15:54,60.733,56.7202,47.46,96,100,9.66
99,Sola,VU,2022-10-03 02:13:11,-13.8833,167.55,80.69,75,31,6.42
100,Vuktyl,RU,2022-10-03 02:15:54,63.8567,57.3094,46.06,96,100,10.49
101,Bathsheba,BB,2022-10-03 02:15:55,13.2167,-59.5167,79.41,94,40,4.61
102,Port Alfred,ZA,2022-10-03 02:15:55,-33.5906,26.891,60.19,89,38,4.0
103,Ewa Beach,US,2022-10-03 02:15:56,21.3156,-158.0072,82.35,80,75,9.22
104,Bethel,US,2022-10-03 02:15:56,41.3712,-73.414,52.16,57,0,8.05
105,Yellowknife,CA,2022-10-03 02:11:28,62.456,-114.3525,42.57,60,7,11.01
106,Saskylakh,RU,2022-10-03 02:15:56,71.9167,114.0833,25.48,95,99,11.61
107,Konstantinovskoye,RU,2022-10-03 02:15:57,45.2992,42.6367,63.18,74,100,16.6
108,Beringovskiy,RU,2022-10-03 02:15:57,63.05,179.3167,40.33,73,96,14.2
109,Bousso,TD,2022-10-03 02:15:58,10.4795,16.7117,74.43,89,61,5.99
110,Qaanaaq,GL,2022-10-03 02:15:58,77.484,-69.3632,7.38,74,61,7.4
111,Doha,QA,2022-10-03 02:13:37,25.2867,51.5333,82.38,74,0,2.3
112,Mana,GF,2022-10-03 02:14:43,5.6592,-53.7767,78.12,89,99,7.27
113,Faanui,PF,2022-10-03 02:15:58,-16.4833,-151.75,79.0,72,4,13.96
114,Arraial Do Cabo,BR,2022-10-03 02:12:25,-22.9661,-42.0278,69.08,90,100,6.49
115,Pauini,BR,2022-10-03 02:15:59,-7.7136,-66.9764,75.11,75,11,0.65
116,Carnarvon,AU,2022-10-03 02:15:59,-24.8667,113.6333,72.64,43,0,15.57
117,Broome,US,2022-10-03 02:16:00,42.2506,-75.833,49.66,82,0,5.75
118,Nanortalik,GL,2022-10-03 02:16:00,60.1432,-45.2371,36.63,82,13,11.52
119,Mehamn,NO,2022-10-03 02:16:01,71.0357,27.8492,40.95,87,100,3.44
120,Torbay,CA,2022-10-03 02:16:01,47.6666,-52.7314,45.27,74,20,9.22
121,Arlit,NE,2022-10-03 02:14:40,18.7369,7.3853,89.67,11,0,13.56
122,Manitouwadge,CA,2022-10-03 02:16:02,49.1215,-85.8403,41.54,84,100,6.31
123,Baykit,RU,2022-10-03 02:16:02,61.67,96.37,31.24,80,82,4.79
124,Yenagoa,NG,2022-10-03 02:16:02,4.9247,6.2642,72.75,96,100,2.08
125,Sao Joao Da Barra,BR,2022-10-03 02:14:07,-21.6403,-41.0511,71.06,89,98,2.46
126,Nikolskoye,RU,2022-10-03 02:16:03,59.7035,30.7861,44.49,82,100,10.0
127,Plainview,US,2022-10-03 02:16:03,40.7765,-73.4673,53.46,67,75,16.11
128,Naze,JP,2022-10-03 02:16:03,28.3667,129.4833,83.32,72,25,12.1
129,Oranjemund,NA,2022-10-03 02:16:04,-28.55,16.4333,55.99,95,9,8.88
130,Damulog,PH,2022-10-03 02:16:04,7.4836,124.9431,83.84,68,100,1.12
131,Hamadan,IR,2022-10-03 02:16:04,34.7992,48.5146,56.08,44,0,1.81
132,San Juan,AR,2022-10-03 02:15:52,-31.5375,-68.5364,73.67,33,0,21.0
133,Mahebourg,MU,2022-10-03 02:16:05,-20.4081,57.7,70.25,73,40,10.36
134,Odesskoye,RU,2022-10-03 02:16:05,54.2111,72.9651,31.95,65,5,6.38
135,Ostrovnoy,RU,2022-10-03 02:17:06,68.0531,39.5131,35.31,88,27,11.14
136,Ratnagiri,IN,2022-10-03 02:17:06,16.9833,73.3,78.01,86,82,7.16
137,Anqing,CN,2022-10-03 02:17:06,30.5092,117.0506,96.91,35,5,9.01
138,Muros,ES,2022-10-03 02:17:07,42.7762,-9.0603,57.83,91,100,5.75
139,Ponta Do Sol,PT,2022-10-03 02:17:07,32.6667,-17.1,70.43,79,5,3.83
140,Fortuna,US,2022-10-03 02:17:07,40.5982,-124.1573,60.93,81,7,3.0
141,Shingu,JP,2022-10-03 02:17:08,33.7333,135.9833,76.44,75,97,5.32
142,Maceio,BR,2022-10-03 02:12:39,-9.6658,-35.7353,71.04,94,20,3.44
143,Avera,US,2022-10-03 02:17:08,33.194,-82.5271,67.51,63,0,11.5
144,Kiunga,PG,2022-10-03 02:17:09,-6.1219,141.2906,89.53,57,70,3.69
145,Pangnirtung,CA,2022-10-03 02:17:09,66.1451,-65.7125,29.84,63,9,3.38
146,Felipe Carrillo Puerto,MX,2022-10-03 02:17:09,19.5833,-88.05,73.22,86,100,2.19
147,Barranca,PE,2022-10-03 02:17:10,-10.75,-77.7667,61.47,84,71,7.4
148,Cozumel,MX,2022-10-03 02:17:10,20.5083,-86.9458,82.0,76,40,4.0
149,Pevek,RU,2022-10-03 02:17:10,69.7008,170.3133,30.24,84,100,11.54
150,Hobyo,SO,2022-10-03 02:17:11,5.3505,48.5268,76.26,87,100,18.28
151,Creel,MX,2022-10-03 02:17:11,27.75,-107.6333,52.25,79,31,5.44
152,Amazar,RU,2022-10-03 02:17:12,53.858,120.875,35.24,32,56,7.34
153,Coos Bay,US,2022-10-03 02:12:49,43.3665,-124.2179,60.31,93,100,3.44
154,Kamenka,RU,2022-10-03 02:17:12,51.3223,42.7678,63.27,58,100,24.7
155,Cherskiy,RU,2022-10-03 02:17:12,68.75,161.3,29.28,86,100,12.55
156,Shar,KZ,2022-10-03 02:17:13,49.5886,81.0453,33.69,47,0,3.22
157,Barras,BR,2022-10-03 02:13:45,-4.2444,-42.2944,77.68,77,33,7.99
158,Sioux Falls,US,2022-10-03 02:16:32,43.55,-96.7003,69.66,40,40,13.8
159,San Juan De Uraba,CO,2022-10-03 02:17:14,8.7592,-76.5297,79.23,82,6,7.29
160,San Patricio,US,2022-10-03 02:17:14,28.017,-97.5169,78.84,49,100,5.84
161,Port Elizabeth,ZA,2022-10-03 02:17:06,-33.918,25.5701,61.32,91,20,26.46
162,Hithadhoo,MV,2022-10-03 02:17:15,-0.6,73.0833,81.52,68,89,14.81
163,Nioro,GM,2022-10-03 02:17:15,13.35,-15.75,76.06,90,89,1.5
164,Lebu,CL,2022-10-03 02:17:15,-37.6167,-73.65,50.36,86,100,2.71
165,Salinas,US,2022-10-03 02:14:04,36.6777,-121.6555,67.41,71,0,8.05
166,Katsuura,JP,2022-10-03 02:17:16,35.1333,140.3,77.67,60,70,7.05
167,Ambon,ID,2022-10-03 02:17:16,-3.6954,128.1814,89.74,66,20,6.91
168,Faya,SA,2022-10-03 02:17:17,18.3851,42.4509,59.11,65,35,1.23
169,Felanitx,ES,2022-10-03 02:17:17,39.4696,3.1483,61.14,63,89,3.51
170,Camopi,GF,2022-10-03 02:17:17,3.1655,-52.3158,72.73,92,100,2.75
171,Mogoytuy,RU,2022-10-03 02:17:18,51.2833,114.9167,32.83,32,8,15.84
172,Berlin,DE,2022-10-03 02:13:12,52.5244,13.4105,53.98,86,100,14.97
173,Vila Franca Do Campo,PT,2022-10-03 02:17:19,37.7167,-25.4333,74.19,87,77,11.03
174,Tuktoyaktuk,CA,2022-10-03 02:17:19,69.4541,-133.0374,26.6,80,100,8.05
175,Jijiga,ET,2022-10-03 02:17:19,9.35,42.8,63.46,75,50,8.23
176,Jumla,NP,2022-10-03 02:16:15,29.2747,82.1838,59.76,72,0,2.24
177,Cabo San Lucas,MX,2022-10-03 02:17:20,22.8909,-109.9124,86.31,57,40,6.91
178,Mahon,ES,2022-10-03 02:17:20,39.8885,4.2658,63.16,88,0,5.75
179,Japura,ID,2022-10-03 02:18:21,-0.3167,102.35,79.77,82,90,2.57
180,Haukipudas,FI,2022-10-03 02:18:21,65.1765,25.3523,43.14,87,68,10.31
181,Fairbanks,US,2022-10-03 02:16:47,64.8378,-147.7164,45.61,85,100,4.61
182,Coquimbo,CL,2022-10-03 02:18:06,-29.9533,-71.3436,55.13,94,100,2.3
